PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.014712939134772,2.0212876324434013,0.7612304579150169,0.1352978881073785,602,99.91739314265932,35.39319869077323,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",67.34864611060283,12.17367891,0.27172,0.371556,0.3563+-0.3563,0.3358+-0.0000
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,0.0519702,0.151639,0.5184+-0.0536,0.4350+-0.0014
3,5.28364121965297,2.041529373370256,0.7810880305984111,0.3850265098184054,401,47.15457479635087,35.50288561914287,distr,y/u,free,e/s,"393.08, 160.03","2878.52, 194.36",39.00126048743715,12.11337733,0.249728,0.349713,0.1975+-0.1487,0.4630+-0.4630
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,0.104583,0.204489,0.2015+-0.0000,0.4350+-0.0014
3,5.025387774097997,2.024378428569952,0.6611285775091793,0.3671691074464361,1,74.94386151079662,30.110675550627928,distr,y/u,free,e/s,"283.37, 226.93","2878.52, 194.36",88.21338979265201,11.99911534,0.0,0.0981446,0.5217+-0.0060,0.3664+-0.3664
0,5.004748284335829,2.111027019422875,0.5639486311140404,0.2118062232892048,601,99.83496399280251,88.98085222135335,distr,y/u,free,e/s,"283.37, 226.93","561.99, 775.95",38.12429087886416,12.17363616,0.0682364,0.168067,0.1748+-0.1025,0.4350+-0.0014
3,5.057745442267806,2.258546710819361,0.7742624636298426,0.3854637454421728,401,57.13415497471358,41.7058239239465,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",86.80840636176669,12.11336319,0.476028,0.575952,0.2882+-0.2394,0.3916+-0.3916
3,5.064573507496875,2.0517874026747225,0.6784979421604685,0.3572336494627892,201,57.678289058495096,30.19579374613699,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",88.35452653304795,12.05502496,0.27172,0.371556,0.1540+-0.1052,0.0000+-0.0000
3,5.054991638348356,2.017200458663443,0.7792140295764804,0.3403823823096649,1,76.94960344791592,37.68726996680512,distr,y/u,free,e/s,"386.67, 164.94","2878.52, 194.36",38.039973845527165,11.99915234,0.0,0.0981446,0.4539+-0.2933,0.8042+-0.0024
0,5.021604118774829,2.1769969945178507,0.623116384517711,0.3901210782467898,541,32.25432883118399,30.135677031762057,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",76.56248929155153,11.22286933,0.0,0.0981446,0.8862+-0.0325,0.0000+-0.0000
