PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,7.00781474009155,2.827169072470725,0.6197504568931691,0.11089946397087012,329,37.66176195382333,52.59869204159368,free,y/h,foc,e/s,"4178.60, 693.29","70.28, 534.16",70.9992800194486,11.558844200238594,0.0,0.0981446,0.0627+-0.0002,0.2642+-0.0018
0,7.01,2.83,0.62,0.11,328,37.0,52.0,free,y/h,foc,e/s,"4178.60, 693.29","70.28, 534.16",70.0,11.55881977102588,0.0,0.0981446,0.0627+-0.0002,0.2550+-0.0000
0,7.01,2.83,0.62,0.11,219,37.0,52.0,free,y/h,foc,e/s,"2840.64, 167.73","70.28, 534.16",70.0,11.52576789303627,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
2,7.01,2.83,0.62,0.11,110,22.0,52.0,free,y/h,foc,e/s,"545.18, 195.08","1400.00, 200.00",70.0,11.4931288518511,0.0,0.0981446,0.1393+-0.0000,0.0980+-0.0002
4,7.01,2.83,0.62,0.11,1,22.0,52.0,free,y/h,foc,e/s,"1579.49, 164.77","2865.33, 197.52",70.0,11.46147623525484,0.0,0.0981446,0.0970+-0.0000,
0,7.01,2.83,0.62,0.11,328,37.0,52.0,free,y/h,foc,e/s,"4178.60, 693.29","70.28, 534.16",70.0,11.55881977102588,0.0,0.0981446,0.0620+-0.0000,0.2550+-0.0037
0,7.01,2.83,0.62,0.11,219,37.0,52.0,free,y/h,foc,e/s,"2877.59, 168.07","70.28, 534.16",70.0,11.52576348298972,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
1,7.01,2.83,0.62,0.11,110,22.0,52.0,free,y/h,foc,e/s,"419.22, 199.33","1140.80, 194.22",70.0,11.49312295777486,0.0,0.0981446,0.0997+-0.0000,0.1436+-0.0000
4,7.01,2.83,0.62,0.11,1,22.0,52.0,free,y/h,foc,e/s,"1246.61, 167.61","2853.80, 196.58",70.0,11.46147317325353,0.0,0.0981446,0.0970+-0.0000,
0,7.01,2.83,0.62,0.11,328,37.0,52.0,free,y/h,foc,e/s,"4178.60, 693.29","70.28, 534.16",70.0,11.55881977102588,0.0,0.0981446,0.0622+-0.0002,0.2679+-0.0018
