PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,5.00736131111082,3.355956983332577,0.7852124425323552,0.3727870989612245,1.0,41.65018979440752,40.37461062733537,2.0,0.0,0.0,0.0,0.0,0.0,2016.6,417.93,1559.79,221.11,65.47019535676503,12.1628886,0.5096466503099993,0.004421083333333332
0.0,5.13171748383862,3.767466484478108,0.7943916073481303,0.3816051649016285,169.0,43.61723582875609,44.0216984039385,0.0,1.0,0.0,0.0,0.0,0.0,331.56,160.89,2208.45,330.22,76.16119187983548,11.35344167,0.5532438149999994,0.0034741666666666658
0.0,5.032378228162258,3.456476072692735,0.6210970417683793,0.25838031232787084,642.0,96.5837210934864,66.13906632274431,2.0,1.0,1.0,0.0,1.0,0.0,1467.38,280.01,607.4,734.15,79.31398876391339,11.93622719,0.7730787538333338,0.08896219702380953
5.0,6.070724948772907,2.712358042397401,0.6889517433030242,0.23593268780685106,1.0,78.7006718240629,70.39586972679828,2.0,1.0,0.0,2.0,0.0,0.0,2672.0,192.59,2857.59,200.51,80.12114045400605,11.50954493,1.0,0.0
0.0,7.4550943496119215,2.3229609038298236,0.7723951638673983,0.3923149022128055,440.0,56.933341584156054,37.93458876268132,0.0,0.0,2.0,1.0,1.0,1.0,2701.9,163.62,1449.88,242.42,73.73942112702814,11.12844566,0.3800031456647618,0.15435173333333327
3.0,5.7961800504034136,3.9554685291517684,0.7883185947310917,0.37638211482845335,115.0,96.95598173160992,36.90163606351312,2.0,1.0,1.0,2.0,1.0,0.0,676.97,190.41,2882.69,209.97,47.6768187597277,11.12849979,0.5168466881899996,0.043812500000000025
0.0,5.016631773843424,2.8356552572839013,0.5824202922464998,0.38048369959808725,116.0,42.707859290508196,41.620946662550814,2.0,1.0,0.0,1.0,1.0,0.0,2970.74,312.58,403.78,753.84,89.32615765153378,11.12666509,0.49813540326666605,0.0030707499999999997
1.0,5.033072394294613,3.1401003169713753,0.5516406816170586,0.3994340248962027,270.0,31.054162731679053,70.61817271136863,2.0,0.0,1.0,2.0,1.0,2.0,615.86,192.81,1142.11,759.64,84.91242449016569,12.32227142,0.6488904134999995,0.3811705000000001
2.0,5.649359373371814,3.9853111040972813,0.633707056180555,0.3576699197834652,345.0,63.1374274912374,48.35121464790402,1.0,1.0,0.0,2.0,0.0,1.0,662.1,191.32,2299.97,199.23,86.3561261230559,11.6369362,0.7937952655666671,0.03513250000000002
0.0,5.012450926924047,3.463320950937262,0.7955205697814404,0.3808425964081645,172.0,44.87551131052638,74.335181019295,1.0,1.0,0.0,2.0,0.0,1.0,267.79,133.89,3541.71,676.44,67.1405614595699,11.58610619,0.46755206433333285,0.0036145
1.0,6.2111691829285345,3.9924330841607025,0.5723253995780475,0.3334834591820749,310.0,57.10709578547526,73.45756942407739,2.0,0.0,0.0,1.0,0.0,0.0,363.25,161.1,2891.72,235.12,71.25084415285231,12.15363125,0.3095074528509521,0.02908500000000001
0.0,6.929781672294391,2.4699483533166933,0.7790434190643334,0.2997065553680224,660.0,57.14610499519372,30.271692244181445,0.0,0.0,2.0,1.0,1.0,1.0,4329.73,386.37,1449.88,242.42,83.40934414192387,11.19472359,0.42309745472619026,0.20998213333333343
5.0,5.831281879173942,3.8948025112023927,0.5535902785250753,0.20562468071236878,172.0,56.471112693794666,52.39855310116738,1.0,1.0,0.0,2.0,0.0,1.0,2898.65,193.89,2891.13,195.11,56.53354278765795,11.58610567,1.0,0.0031664833333333326
0.0,5.150841166310669,2.1206123536350203,0.7830285645983581,0.38206519829886904,133.0,82.20874234282458,43.538999165599314,2.0,1.0,1.0,0.0,1.0,2.0,394.74,767.75,1983.4,299.33,69.5130087356653,11.79395431,0.6157344339999993,0.0061565000000000005
0.0,5.057332538124172,2.1052882500016707,0.5471138605995962,0.39819110828652843,381.0,99.08202493752482,30.390792940857878,1.0,1.0,2.0,0.0,0.0,1.0,843.41,185.28,1354.43,361.91,63.26180902793991,11.47528924,0.5716031925999995,0.39673004999999967
