PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.790176631006302,3.38550546204569,0.7936243550022797,0.3732415721217377,1,40.55080800196253,41.79733517076972,free,y/h,foc,y/h,"2016.6, 417.93","1559.79, 221.11",91.56574658325124,12.1628886,,,,
0,5.016829034417786,3.933285564671924,0.7901463747025743,0.370920532270486,169,60.27706212963937,44.05188081282499,foc,e/h,foc,y/h,"331.56, 160.89","2208.45, 330.22",76.16061188940317,11.35344167,,,,
0,5.045892283141498,4.003441747662569,0.5641983117505593,0.2545592587277294,642,84.2337953119808,63.9548942269311,free,e/s,foc,e/h,"1467.38, 280.01","607.4, 734.15",79.20269416359174,11.93622719,,,,
5,5.869670656104268,2.879796540112294,0.6985562979223432,0.2310984478394986,1,77.2442756684003,47.84428658442779,free,e/h,free,y/h,"2672.0, 192.59","2857.59, 200.51",90.59447761340026,11.50954493,,,,
0,5.059930467820649,2.3175449587656933,0.7864849830291676,0.3443022539319417,440,57.8251239206734,40.97568999510532,foc,y/u,distr,e/s,"2701.9, 163.62","1449.88, 242.42",81.20777822214849,11.12844566,,,,
3,5.6331694383766,3.822024365005974,0.7869267701525077,0.3770867664401356,115,64.48075216845312,36.41154274770752,free,e/s,free,e/h,"676.97, 190.41","2882.69, 209.97",50.060010990558894,11.12849979,,,,
0,5.000730433051248,2.367303779228806,0.5683710542186612,0.3805358325746418,116,41.77049714174016,41.8631521866497,free,e/h,distr,e/h,"2970.74, 312.58","403.78, 753.84",79.34510126477939,11.12666509,,,,
1,5.195065604976783,3.9544996895212496,0.5298405434949981,0.3985030984589667,270,38.48898939120788,74.01123039386556,free,y/s,free,e/u,"615.86, 192.81","1142.11, 759.64",81.6726224491829,12.32227142,,,,
2,5.869414649363766,3.985267509966409,0.6713254139448623,0.3642348810253622,345,79.11620967683346,41.81076139414432,distr,e/h,free,y/s,"662.1, 191.32","2299.97, 199.23",86.3552378183207,11.6369362,,,,
0,6.034426137316152,3.3769176462560053,0.7842337663216342,0.383999053076159,172,43.55930185220793,71.96701224511374,distr,e/h,free,y/s,"267.79, 133.89","3541.71, 676.44",79.14337962982727,11.58610619,,,,
1,5.842623470993494,3.893121249635751,0.5680362395356992,0.3983138553538566,310,58.30521822648405,68.96490942672843,free,y/h,distr,y/h,"363.25, 161.1","2891.72, 235.12",71.22227403313732,12.15363125,,,,
0,5.170494933494631,3.7730720917903775,0.7948154950492606,0.338985099441738,660,57.42956020851207,46.154214621181765,foc,y/u,distr,e/s,"4329.73, 386.37","1449.88, 242.42",76.51733550462284,11.19472359,,,,
5,5.801623020629166,3.91831911081936,0.6029995907592304,0.2025221508072402,172,77.13347993262425,43.44143069897459,distr,e/h,free,y/s,"2898.65, 193.89","2891.13, 195.11",47.499357188447,11.58610567,,,,
0,5.69704240229726,2.05341143121458,0.7830285645983581,0.381670393724545,133,98.56371105174384,43.47563000838105,free,e/s,foc,e/u,"394.74, 767.75","1983.4, 299.33",69.498797050143,11.79395431,,,,
0,5.127141911652459,2.453083689427159,0.5765862886284137,0.3936793164006359,381,89.08161915278878,35.31787313288147,distr,e/u,foc,y/s,"843.41, 185.28","1354.43, 361.91",30.9712572997186,11.47528924,,,,
5,5.937519702348218,3.0044478120312608,0.6787996206658398,0.2020417035447945,1,35.92649542637216,47.79521336910303,free,e/h,free,y/h,"2903.14, 195.52","2857.59, 200.51",84.68912882552466,11.50953528,,,,
0,5.964458138136807,3.4573676326413465,0.7597001556142563,0.190762536451535,693,78.22696065462503,66.13117578351202,free,y/s,distr,e/u,"2435.56, 591.61","1462.01, 536.68",78.59761709024613,12.00947781,,,,
0,5.029133316868654,3.944961265371728,0.5037204017600394,0.3459024657255035,545,33.392916323821545,36.583141139867664,distr,y/h,free,y/h,"1808.47, 343.5","2436.27, 221.71",86.02067303083324,12.28424881,,,,
5,5.988844746553902,2.9896803286719864,0.7508041736455248,0.2263354276708389,1,71.81365809553216,44.29554241300498,foc,e/h,free,y/u,"2674.31, 178.26","2900.51, 194.35",53.11020714052226,11.62971352,,,,
0,5.0168982424967,3.1266921107805805,0.7825991136721483,0.3746836996351845,210,56.050141821273165,94.61744619625426,free,e/s,foc,y/s,"2775.41, 236.2","2190.72, 647.18",70.32232118900987,11.10645457,,,,
0,5.155719454514735,4.032655758018715,0.7270169921459058,0.3461144056978067,215,43.34054528823103,43.9724131252288,foc,y/h,distr,e/s,"359.71, 164.64","2434.94, 304.36",89.37779026640567,12.26623357,,,,
