PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
0,5.428523759,3.207669876,0.5649153489,0.26821115,602,97.92951157,65.69694939,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47.28361732,12.17367891,0.191025,0.290773,0,0.3962,0.2789,0.33755,0.3726,0.0016,0.1871
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47.0,12.17363616,0.176811,0.276565,0,0.3586,0.2634,0.311,0.3726,0.0016,0.1871
3,5.43,3.21,0.56,0.27,401,97.0,65.0,distr,y,u,free,e,s,393.08,160.03,2878.52,194.36,47.0,12.11337733,0.149088,0.248781,0,0.3285,0.2333,0.2809,0.4683,0.4683,0.4683
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47.0,12.17363616,0.258954,0.358884,0,0.3653,0.125,0.24515,0.3726,0.0016,0.1871
3,5.43,3.21,0.56,0.27,1,97.0,65.0,distr,y,u,free,e,s,283.37,226.93,2878.52,194.36,47.0,11.99911534,0.0,0.0981446,0,0.441,0.1818,0.3114,0.8817,0.0385,0.4601
0,5.43,3.21,0.56,0.27,601,97.0,65.0,distr,y,u,free,e,s,283.37,226.93,561.99,775.95,47.0,12.17363616,0.258954,0.358884,0,0.4159,0.3436,0.37975,0.371,0.0,0.1855
3,5.43,3.21,0.56,0.27,401,97.0,65.0,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47.0,12.11336319,0.136102,0.236078,0,0.6483,0.0351,0.3417,0.914,0.0217,0.46785
3,5.43,3.21,0.56,0.27,201,97.0,65.0,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47.0,12.05502496,0.0413775,0.141115,0,0.6871,0.0117,0.3494,0.0,0.0,0.0
3,5.43,3.21,0.56,0.27,1,97.0,65.0,distr,y,u,free,e,s,386.67,164.94,2878.52,194.36,47.0,11.99915234,0.0,0.0981446,0,0.4881,0.2107,0.3494,0.4356,0.4356,0.4356
0,5.408650677,4.189987323,0.6193887536,0.2627350979,541,38.11980667,79.84105482,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39.37003079,11.22286933,0.0,0.0981446,0,0.9607,0.0353,0.498,0.0,0.0,0.0
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39.0,11.22282963,0.0,0.0981446,0,0.9668,0.0007,0.48375,0.0,0.0,0.0
0,5.41,4.19,0.62,0.26,360,38.0,79.0,distr,e,u,free,e,u,925.36,181.87,138.53,411.75,39.0,11.16857777,0.0,0.0981446,0,0.6042,0.2612,0.4327,0.4552,0.4552,0.4552
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39.0,11.22282963,0.0,0.0981446,0,0.978,0.0073,0.49265,0.0,0.0,0.0
0,5.41,4.19,0.62,0.26,360,22.0,79.0,distr,e,u,free,e,u,1909.3,165.27,138.53,411.75,39.0,11.16857676,0.0,0.0981446,0,0.9569,0.0031,0.48,0.2987,0.2987,0.2987
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e,u,free,e,u,3115.69,584.43,138.53,411.75,39.0,11.22282963,0.0,0.0981446,0,0.9823,0.0043,0.4933,0.0,0.0,0.0
0,5.41,4.19,0.62,0.26,360,38.0,79.0,distr,e,u,free,e,u,548.54,194.9,138.53,411.75,39.0,11.16858303,0.0,0.0981446,0,0.9504,0.0059,0.47815,0.4448,0.4448,0.4448
0,5.175653568,3.302150545,0.7741291051,0.2077138232,428,64.74944434,79.46015426,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83.85787568,11.9281727,0.137973,0.237692,0,0.7893,0.1344,0.46185,0.003,0.003,0.003
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83.0,11.92814216,0.208874,0.308639,0,0.7572,0.227,0.4921,0.0069,0.0069,0.0069
3,5.18,3.3,0.77,0.21,143,64.0,79.0,distr,e,u,free,y,h,489.61,175.89,2886.28,195.34,83.0,11.8433051,0.218743,0.318568,0,0.2916,0.2916,0.2916,0.4988,0.4988,0.4988
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83.0,11.92814216,0.204953,0.304718,0,0.8049,0.1677,0.4863,0.0164,0.001,0.0087
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e,u,free,y,h,1867.55,234.08,2356.35,560.55,83.0,11.92814216,0.250988,0.350782,0,0.7623,0.2094,0.48585,0.0077,0.0077,0.0077
1,5.05,2.23,0.61,0.13,177,33.0,78.0,foc,e,s,distr,y,u,58.26,254.49,1727.25,213.81,72.0,11.52248231,0.0712232,0.170976,0,0.4783,0.0739,0.2761,0.2517,0.2517,0.2517
4,5.05,2.23,0.61,0.13,1,33.0,47.0,foc,e,s,distr,y,u,1916.89,183.23,2790.44,200.64,72.0,11.47056211,0.0,0.0981446,0,0.4683,0.1729,0.3206,0.0,0.0,0.0
0,6.420731057,2.661426295,0.5511996311,0.2135580999,344,34.48340061,48.18999663,free,e,s,free,e,h,3992.77,789.41,1400.13,767.97,92.76446151,11.19722639,0.447566,0.547495,0,0.4766,0.0013,0.23895,0.0158,0.0004,0.0081
