RF,DT,NN,GBM,XGB
-0.008927495443041332,-0.027518008199999992,-0.05646031872469328,-0.010650187540404595,-0.009200140042939575
-0.03023505924498601,-0.02953222505277778,-0.055317682015840204,-0.015927301191619062,-0.031014792847844964
-0.0070825852085606555,-0.02218151803125,-0.036136600093647366,-0.006603549893279326,-0.006534251728075782
-0.009771676802966468,-0.02760877509722222,-0.07431489641753529,-0.01496874546434798,-0.015492620784387375
-0.0024869781692320935,-0.020449987880555555,-0.03447291381853787,-0.002192844950360135,-0.0015462991055196463
-0.00505223899893231,-0.007087285822222222,-0.04386768823177434,-0.004305187479824207,-0.005342003581983893
-0.006542404772948846,-0.008219340665277778,-0.02491780104255156,-0.007010700817488109,-0.006151427194433031
-0.005803908795986965,-0.012226060119444444,-0.02275437689892175,-0.007909294019964801,-0.006272605993075014
-0.007162877803137629,-0.017620800275,-0.04650372747077451,-0.00838427673333617,-0.013762289156779836
-0.01775600445219719,-0.037752619725000006,-0.019449867520408982,-0.02022400242670387,-0.01867553145165072
