PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,5.029258625738787,2.114215353808247,0.6187903276748442,0.39731626451314556,440.8548041618409,99.54915012613101,96.74355987825679,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,79.31935063125401,11.5588442,0.5774858602333327,0.06525349166666668
0,5.127301298977807,4.020748793676887,0.6509581801491174,0.39092801013675205,283.0201339125591,33.4121863962581,30.49610988718382,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,79.45336611862585,11.55881977,0.6519944113333325,0.0804749523809524
0,6.164101178689814,2.8714185486619757,0.7857290833728898,0.37364261587404146,268.5586043977228,53.85538291481164,85.64781925779033,free,y,h,foc,e,s,2840.64,167.73,70.28,534.16,79.24039479291002,11.52576789,0.44870154918333294,0.010522919047619046
2,5.15862392047849,3.843355026221985,0.5195362153249754,0.39945389406070514,498.46834134475114,63.59830925469646,49.501562405252535,free,y,h,foc,e,s,545.18,195.08,1400.0,200.0,33.87878275706066,11.49312885,0.8891621693333343,0.1267121666666666
4,6.4568436795706186,3.883753213790068,0.6568778099375423,0.3286505066850285,365.4746465456055,62.48544488367737,48.75854320761852,free,y,h,foc,e,s,1579.49,164.77,2865.33,197.52,30.009513316239254,11.46147624,0.9136957740000013,0.06658087499999996
0,5.127301298977807,4.020748793676887,0.6509581801491174,0.39092801013675205,283.0201339125591,33.4121863962581,30.49610988718382,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,79.45336611862585,11.55881977,0.6519944113333325,0.0804749523809524
0,5.215677133488754,2.881197457871912,0.7815819970736572,0.37027173631597327,276.1353867813841,49.166377140313166,58.179811826430665,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,78.98022862391979,11.52576348,0.6156079233499994,0.015472419047619049
1,6.51517862260189,3.8577754805133,0.5040214231539,0.3605578051652202,292.43821220224766,65.51103915082494,96.16332091767386,free,y,h,foc,e,s,419.22,199.33,1140.8,194.22,52.807352827372775,11.49312296,0.710548871,0.09432499999999991
4,6.44536138563452,3.9123405319709756,0.6571513622282404,0.3963104439522383,275.29787188743217,56.87362337076932,54.82352689551107,free,y,h,foc,e,s,1246.61,167.61,2853.8,196.58,34.620597332241026,11.46147317,0.8944410610000011,0.055314650000000014
0,5.127301298977807,4.020748793676887,0.6509581801491174,0.39092801013675205,283.0201339125591,33.4121863962581,30.49610988718382,free,y,h,foc,e,s,4178.6,693.29,70.28,534.16,79.45336611862585,11.55881977,0.6519944113333325,0.0804749523809524
0,5.215677133488754,2.881197457871912,0.7815819970736572,0.37027173631597327,276.1353867813841,49.166377140313166,58.179811826430665,free,y,h,foc,e,s,2877.59,168.07,70.28,534.16,78.98022862391979,11.5257637,0.6156079233499994,0.015472419047619049
1,5.133922161002516,3.8842697747429193,0.5052813257726814,0.3911588142223887,292.6297401266945,62.070072200294064,96.40824971368205,free,y,h,foc,e,s,531.15,195.49,1171.79,194.91,64.33360175581579,11.49311825,0.8133734700000005,0.09664849999999993
4,5.182782294088824,3.836871472277679,0.7751238321910723,0.3356037836949765,250.48352806885046,81.22702009939572,55.60583631068039,free,y,h,foc,e,s,1491.47,163.31,2936.78,196.3,51.202074219857906,11.46146728,0.8474885855000011,0.04347250000000002
0,7.32547459332074,3.999229112073057,0.776460651877155,0.24040414029859178,597.8620311519628,77.39752345556397,36.81065508356842,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,39.92855626852916,12.08804791,0.6727199549047616,0.024941476190476194
0,5.1526254060208,3.9488207937256212,0.5874980209560265,0.38491987965368946,493.26011449762535,38.67693460159978,57.94092686250475,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,39.6456462537151,12.08801127,0.804456163071429,0.04615037499999999
2,5.200018953647299,4.009949937514525,0.5145298561946139,0.3879420508831212,325.4336401170536,64.34146004713342,86.54042447126206,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,87.22107899938351,12.03736869,0.8254218443333339,0.10548799999999998
2,5.195464962118515,3.8427578990762536,0.5637712255325504,0.3351528718012129,395.18011470711457,50.17086027031909,81.16630677166059,foc,e,h,distr,y,s,104.08,278.9,1676.47,169.83,66.42863266830773,11.98768747,0.8437635083333339,0.11433499999999996
0,5.1526254060208,3.9488207937256212,0.5874980209560265,0.38491987965368946,493.26011449762535,38.67693460159978,57.94092686250475,foc,e,h,distr,y,s,128.43,521.68,158.09,205.08,39.6456462537151,12.08801127,0.804456163071429,0.04615037499999999
2,5.203017525903785,3.7573345306079027,0.5377905453961278,0.36857065522351357,345.1244302336089,78.34334029842582,30.921063612254976,foc,e,h,distr,y,s,110.16,339.59,2014.25,180.3,86.12425955670929,12.03738652,0.8346314850000007,0.09005950000000004
5,7.274633327665383,2.001275534689566,0.6383765098886937,0.27804186789369506,360.33516658052423,44.64543608418245,58.799825518156354,foc,e,h,distr,y,s,5485.22,133.51,2882.08,197.64,80.20101904220277,11.98770016,1.0,0.06270216666666668
